"Question","ResponseCategories","a","b1","b2","b3","b4"
"I am someone who is outgoing, sociable.","1,2,3,4,5",1.2,-2,-0.5,0.5,2
"I am someone who is reserved.","1,2,3,4,5",1,-1.8,-0.3,0.7,2.2
"I am someone who is full of energy.","1,2,3,4,5",1.3,-2.1,-0.6,0.4,1.9
"I am someone who likes to cooperate with others.","1,2,3,4,5",1.1,-1.9,-0.4,0.6,2.1
"I am someone who is sometimes rude to others.","1,2,3,4,5",0.9,-2.2,-0.7,0.3,1.8
"I am someone who is reliable, dependable.","1,2,3,4,5",1.4,-2,-0.5,0.5,2
"I am someone who is tense, anxious.","1,2,3,4,5",1,-1.7,-0.2,0.8,2.3
"I am someone who is emotionally stable.","1,2,3,4,5",1.2,-2.1,-0.6,0.4,1.9
"I am someone who is open to new experiences.","1,2,3,4,5",1.3,-1.8,-0.3,0.7,2.2
"I am someone who is curious about many things.","1,2,3,4,5",1.1,-2,-0.5,0.5,2
"I am someone who is helpful to others.","1,2,3,4,5",1,-1.9,-0.4,0.6,2.1
"I am someone who starts quarrels with others.","1,2,3,4,5",0.8,-2.3,-0.8,0.2,1.7
"I am someone who is considerate and kind.","1,2,3,4,5",1.2,-2,-0.5,0.5,2
"I am someone who is sometimes shy.","1,2,3,4,5",1,-1.8,-0.3,0.7,2.2
"I am someone who is inventive.","1,2,3,4,5",1.1,-2.1,-0.6,0.4,1.9
"I am someone who is nervous at times.","1,2,3,4,5",0.9,-2.2,-0.7,0.3,1.8
"I am someone who is organized.","1,2,3,4,5",1.3,-1.9,-0.4,0.6,2.1
"I am someone who is talkative.","1,2,3,4,5",1.2,-2,-0.5,0.5,2
"I am someone who is forgiving.","1,2,3,4,5",1,-1.8,-0.3,0.7,2.2
"I am someone who is creative.","1,2,3,4,5",1.1,-2.1,-0.6,0.4,1.9
"I am someone who is relaxed, handles stress well.","1,2,3,4,5",1.2,-2,-0.5,0.5,2
"I am someone who is outgoing.","1,2,3,4,5",1.3,-1.9,-0.4,0.6,2.1
"I am someone who is sometimes moody.","1,2,3,4,5",0.9,-2.2,-0.7,0.3,1.8
"I am someone who is efficient.","1,2,3,4,5",1.1,-2,-0.5,0.5,2
"I am someone who is sociable.","1,2,3,4,5",1.2,-1.8,-0.3,0.7,2.2
"I am someone who is sympathetic.","1,2,3,4,5",1,-2.1,-0.6,0.4,1.9
"I am someone who is thorough in work.","1,2,3,4,5",1.3,-2,-0.5,0.5,2
"I am someone who is calm.","1,2,3,4,5",1.2,-1.9,-0.4,0.6,2.1
"I am someone who is artistic.","1,2,3,4,5",1.1,-2.2,-0.7,0.3,1.8
"I am someone who is dependable.","1,2,3,4,5",1.4,-2,-0.5,0.5,2
